image_id,optimal_block,best_score,original_h,original_w,adjusted_h,adjusted_w,size_change_h,size_change_w
266,16,1.7509,768,591,768,592,0,1
267,8,2.1657,607,431,608,432,1,1
269,8,1.5251,656,443,656,448,0,5
270,8,1.6234,640,407,640,416,0,9
271,8,1.788,414,294,416,304,2,10
272,12,1.6456,424,322,432,336,8,14
273,8,2.4677,520,402,528,416,8,14
274,16,1.03,533,334,544,336,11,2
275,16,1.0585,548,726,560,736,12,10
277,8,1.2782,579,480,592,480,13,0
278,8,1.489,651,427,656,432,5,5
279,8,1.6349,608,421,608,432,0,11
280,8,1.597,760,584,768,592,8,8
281,8,3.3083,599,422,608,432,9,10
283,16,1.2542,628,458,640,464,12,6
284,8,1.7277,554,418,560,432,6,14
285,8,1.8781,700,491,704,496,4,5
286,8,1.7261,631,447,640,448,9,1
287,8,2.804,600,423,608,432,8,9
288,8,2.5935,636,446,640,448,4,2
29,8,4.0873,559,406,560,416,1,10
290,16,1.0813,436,260,448,272,12,12
291,8,2.1159,602,421,608,432,6,11
292,8,1.6111,574,431,576,432,2,1
293,16,1.4535,591,385,592,400,1,15
294,8,1.6015,410,280,416,288,6,8
295,8,1.7437,490,304,496,304,6,0
297,8,3.057,595,421,608,432,13,11
298,8,1.734,599,425,608,432,9,7
3,8,3.319,618,445,624,448,6,3
301,16,1.482,504,386,512,400,8,14
302,8,2.9629,602,355,608,368,6,13
303,8,3.9434,555,417,560,432,5,15
304,8,1.7294,596,424,608,432,12,8
305,8,1.602,398,248,400,256,2,8
306,8,2.3025,598,423,608,432,10,9
307,8,1.6043,504,312,512,320,8,8
308,8,1.352,602,379,608,384,6,5
309,8,1.5698,604,421,608,432,4,11
31,16,1.2912,676,480,688,480,12,0
310,8,1.2935,398,258,400,272,2,14
312,8,17.1133,615,432,624,432,9,0
313,8,47.9874,603,397,608,400,5,3
314,8,6.2562,612,427,624,432,12,5
315,8,59.05,613,408,624,416,11,8
316,12,2.4369,612,427,624,432,12,5
317,8,8.0942,606,404,608,416,2,12
318,6,8.0564,615,428,624,432,9,4
319,13,1.6707,610,411,624,416,14,5
32,8,1.8427,414,284,416,288,2,4
320,8,2.5713,620,414,624,416,4,2
321,8,2.2891,619,412,624,416,5,4
322,8,28.6192,611,433,624,448,13,15
323,8,10.2794,613,426,624,432,11,6
324,8,2.3476,618,423,624,432,6,9
325,8,3.3514,595,428,608,432,13,4
326,6,28.3756,621,421,624,432,3,11
327,8,10.4171,620,445,624,448,4,3
328,8,5.433,671,459,672,464,1,5
329,8,2.9737,678,470,688,480,10,10
33,16,1.3006,508,318,512,320,4,2
330,8,2.8581,668,486,672,496,4,10
331,16,40.3253,614,458,624,464,10,6
332,8,1.4208,688,507,688,512,0,5
333,8,1.5654,687,501,688,512,1,11
334,8,1.8666,701,534,704,544,3,10
335,16,1.3535,677,492,688,496,11,4
336,11,1.6419,692,517,704,528,12,11
337,8,1.4437,685,498,688,512,3,14
338,11,1.7626,689,515,704,528,15,13
339,11,1.4772,696,516,704,528,8,12
34,8,1.5643,574,430,576,432,2,2
340,8,1.3963,677,490,688,496,11,6
341,8,1.4745,712,539,720,544,8,5
342,11,1.385,696,519,704,528,8,9
343,8,5.0743,739,542,752,544,13,2
344,8,51.7855,743,551,752,560,9,9
345,8,16.5769,746,552,752,560,6,8
35,8,2.5038,542,398,544,400,2,2
36,8,1.6286,468,290,480,304,12,14
37,8,1.8953,288,690,288,704,0,14
378,8,1.577,652,414,656,416,4,2
379,12,32.9732,571,384,576,384,5,0
380,16,1.4306,764,738,768,752,4,14
381,16,1364.0,484,349,496,352,12,3
382,8,2.3384,633,423,640,432,7,9
39,16,1.3309,580,487,592,496,12,9
41,8,1.6908,558,416,560,416,2,0
42,8,1.9825,624,436,624,448,0,12
43,8,1.6605,702,446,704,448,2,2
44,8,2.1393,599,422,608,432,9,10
45,8,1.6294,599,421,608,432,9,11
46,8,1.1781,547,372,560,384,13,12
48,8,2.7056,521,388,528,400,7,12
49,16,4.5829,730,433,736,448,6,15
50,8,1.5775,538,348,544,352,6,4
51,8,1.5368,767,581,768,592,1,11
52,16,1.3134,632,435,640,448,8,13
54,8,1.6493,474,280,480,288,6,8
55,8,1.2933,596,423,608,432,12,9
57,8,5.9585,410,292,416,304,6,12
58,8,1.2593,458,274,464,288,6,14
59,8,1.7202,592,392,592,400,0,8
6,8,2.1043,597,419,608,432,11,13
60,8,2.6207,667,418,672,432,5,14
61,8,1.3019,635,446,640,448,5,2
62,16,1.1717,619,440,624,448,5,8
63,16,1.2574,545,334,560,336,15,2
64,16,1361.0667,462,340,464,352,2,12
65,16,2.0149,569,436,576,448,7,12
66,8,3.0765,599,421,608,432,9,11
67,8,1.4796,604,422,608,432,4,10
68,8,2.0328,609,397,624,400,15,3
69,16,1.2942,597,421,608,432,11,11
7,16,1.9058,738,606,752,608,14,2
70,16,2.0705,532,334,544,336,12,2
72,8,3.2828,428,324,432,336,4,12
74,8,4.3428,609,440,624,448,15,8
75,8,3.1751,518,354,528,368,10,14
76,8,12.1876,542,384,544,384,2,0
77,12,2.8768,757,718,768,720,11,2
78,16,1.17,498,322,512,336,14,14
79,8,1.8008,586,383,592,384,6,1
8,8,2.2875,598,422,608,432,10,10
80,8,2.7372,542,392,544,400,2,8
83,8,3.014,599,421,608,432,9,11
84,16,1.4406,655,448,656,448,1,0
85,8,1.5913,648,447,656,448,8,1
86,8,2.9656,474,292,480,304,6,12
87,16,1.3131,590,392,592,400,2,8
88,16,1.3684,539,418,544,432,5,14
89,8,1.4659,658,453,672,464,14,11
9,8,1.2177,628,434,640,448,12,14
91,16,1.3077,592,379,592,384,0,5
92,8,2.967,486,416,496,416,10,0
93,8,1.6774,498,356,512,368,14,12
94,8,2.2857,586,424,592,432,6,8
95,8,1.3768,686,408,688,416,2,8
96,8,1.3031,534,772,544,784,10,12
97,8,5.0591,556,415,560,416,4,1
99,8,1.249,504,411,512,416,8,5
101,16,1.9145,3510,2550,3520,2560,10,10
103,16,1.3633,3372,2391,3376,2400,4,9
104,16,1.5013,3365,2355,3376,2368,11,13
112,10,2.0901,3510,2550,3520,2560,10,10
124,16,1.337,3502,2449,3504,2464,2,15
138,16,1.7395,3351,2297,3360,2304,9,7
143,16,1.4389,3351,2362,3360,2368,9,6
146,16,1.2477,3365,2355,3376,2368,11,13
148,16,1.4274,3510,2319,3520,2320,10,1
159,16,1.5045,3502,2319,3504,2320,2,1
16,16,1.2299,3510,2362,3520,2368,10,6
164,16,2.0127,3510,2355,3520,2368,10,13
172,12,1.4579,3394,2341,3408,2352,14,11
179,16,1.7655,3358,2470,3360,2480,2,10
185,16,1.8045,3351,2499,3360,2512,9,13
197,16,1.7934,3430,2477,3440,2480,10,3
199,16,1.776,3510,2398,3520,2400,10,2
2,16,1.7033,3510,2550,3520,2560,10,10
205,16,1.2858,3510,2377,3520,2384,10,7
208,16,1.3925,3351,2305,3360,2320,9,15
209,16,1.6207,3343,2470,3344,2480,1,10
213,16,1.3045,3365,2348,3376,2352,11,4
225,8,2.0046,1280,812,1280,816,0,4
226,16,1.3002,3502,2341,3504,2352,2,11
23,16,1.6848,3510,2550,3520,2560,10,10
233,16,2.2177,3481,2477,3488,2480,7,3
24,16,1.8687,3510,2550,3520,2560,10,10
244,16,1.6655,3380,2348,3392,2352,12,4
245,16,2.8414,3329,2542,3344,2544,15,2
246,16,1.4389,3510,2341,3520,2352,10,11
250,16,1.3786,3510,2391,3520,2400,10,9
251,10,1.6862,3510,2550,3520,2560,10,10
254,16,2.0218,3502,2377,3504,2384,2,7
255,16,1.6169,3510,2384,3520,2384,10,0
263,16,1.5566,3510,2550,3520,2560,10,10
268,16,1.4273,3336,2297,3344,2304,8,7
27,16,1.4529,3343,2283,3344,2288,1,5
276,16,1.6,3510,2326,3520,2336,10,10
28,20,1.2168,3358,2319,3360,2320,2,1
282,11,1.9551,3510,2463,3520,2464,10,1
289,10,1.7619,3510,2550,3520,2560,10,10
296,12,1.2298,3495,2348,3504,2352,9,4
299,16,1.7058,3510,2550,3520,2560,10,10
30,16,1.6478,3380,2391,3392,2400,12,9
300,16,1.4985,3510,2413,3520,2416,10,3
311,16,1.849,3365,2362,3376,2368,11,6
346,8,6.0824,755,1000,768,1008,13,8
347,16,1.5218,716,502,720,512,4,10
348,16,1.512,718,501,720,512,2,11
349,16,1.5423,728,500,736,512,8,12
350,8,1.9199,721,510,736,512,15,2
351,16,1.7617,723,501,736,512,13,11
